textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),llm_predicted
a7f72a928a, WOOOOOOOOOO   are you coming to Nottingham at any point?  lovelovelove<3,t?  lovelovelove,positive,noon,60-70,Libya,6871292,1759540.0,4,positive
ef42dee96c,resting had a whole day of walking,resting had a whole day of walking,neutral,night,70-100,South Africa,59308690,1213090.0,49,positive
07d17131b1,"was in Palawan a couple of days ago, i`ll try to post pictures tom.","was in Palawan a couple of days ago, i`ll try to post pictures tom.",neutral,morning,46-60,Ireland,4937786,68890.0,72,neutral
2820205db5, I know! I`m so slow its horrible. DON`T TELL ON ME!,horrible.,negative,noon,60-70,Azerbaijan,10139177,82658.0,123,negative
7d3ce4363c,"Glad I went out, glad I didn`t leave early, and glad to be afterpartying it up @ Beth`s  I`m back!",glad,positive,noon,21-30,Montenegro,628066,13450.0,47,positive
8f8a38f144,_Lia  Are the drugs working?,Are the drugs working?,neutral,morning,46-60,Indonesia,273523615,1811570.0,151,neutral
0b9683bd22,"deleted a lott of facebook friends, ask to be my friend again if you want. if not idgaf",if not idgaf,negative,noon,60-70,Iceland,341243,100250.0,3,negative
3a09172f7c," Oh dear, it will be late there.... good ol Michigan!  Well I look forward to chatting with you when our wakeful hours overlap.",l I look forward,positive,night,70-100,Namibia,2540905,823000.0,3,positive
4f9abe51eb," I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",huh?,negative,morning,46-60,Vanuatu,307145,12200.0,25,negative
6f8bd2c26d,wee. done with advance audit paper,wee. done with advance audit paper,neutral,morning,46-60,Mozambique,31255435,786380.0,40,positive
e7e486ec1c, Nice idea for a M-I-L gift. Did you crochet it? Good idea about looking online.  There are Youtube videos showing lefty crochet.,Good,positive,morning,46-60,Brunei,437479,5270.0,83,positive
6bcec9e91f,I`m bummed that I didn`t get TEDx tickets,bummed,negative,morning,46-60,Central African Republic,4829767,622980.0,8,negative
0565804d90, one day my hugs will come    *fingers still crossed*,one day my hugs will come    *fingers still crosse,positive,morning,46-60,Philippines,109581078,298170.0,368,positive
0f3c565ea7,There`s starwars day? ) OMG Rocio!,There`s starwars day? ) OMG Rocio!,neutral,night,70-100,Finland,5540720,304000.0,18,positive
ca1a5db60b, dude. letters are the new currency. i think we`re rich!,dude. letters are the new currency. i think we`re rich!,neutral,noon,60-70,Uruguay,3473730,175020.0,20,positive
51b158d925,  YOU MAKIN` ME ****,YOU MAKIN` ME ****,neutral,night,31-45,Iraq,40222493,434320.0,93,negative
e8c53dadef,_zorz_peep count yourself lucky i was gonna say the OTHER word instead...and rsvp...sorry i cant come to ur birthday...day?,sorry,negative,noon,60-70,Fiji,896445,18270.0,49,negative
a4737a770e,looking for new ideas for my blog,looking for new ideas for my blog,neutral,morning,46-60,Cuba,11326616,106440.0,106,neutral
a0e9f216f2, This is truly enlightening for me,s truly enlightening,positive,night,70-100,Lesotho,2142249,30360.0,71,positive
033d596615," sorry guys, the WAVVES show was canceled, they missed their flight","sorry guys,",negative,morning,0-20,Kazakhstan,18776707,2699700.0,7,negative
41341f5395,Massive morning.. I`m stuffed now,Massive morning.. I`m stuffed now,neutral,night,70-100,Slovenia,2078938,20140.0,103,positive
c1bfc69b2b, I think they make you turn your phones off  I`ll see what I can do!,I think they make you turn your phones off  I`ll see what I can do!,neutral,noon,60-70,Cyprus,1207359,9240.0,131,neutral
9eab958c17,Mama? you`re the best thing that ever happen to me. thanks for everything  & and sorry for hurting you... I LOVE YOU!  <3,LOVE,positive,morning,46-60,Afghanistan,38928346,652860.0,60,positive
dfcccb13ba,Happy moms day,Happy moms day,positive,morning,0-20,Egypt,102334404,995450.0,103,positive
f2d87d6e12,"No more tickets for today.  Having dinner with Mimcy after work, then we head home. Then again, she might get a call","No more tickets for today.  Having dinner with Mimcy after work, then we head home. Then again, she might get a call",neutral,morning,46-60,Ireland,4937786,68890.0,72,negative
