link,headline,category,short_description,authors,date,llm_predicted
https://www.huffingtonpost.com/entry/uruguays-president-beetle_n_6159302.html,Uruguay's President Declines $1 Million Offer For Beloved Beetle,INTERNATIONAL NEWS,,,2014-11-14,Lifestyle
https://www.huffingtonpost.comhttp://www.lambdaliterary.org/interviews/04/10/in-conversation-with-the-violet-quill-andrew-holleran-felice-picano-and-edmund-white/,"In Conversation With The Violet Quill: Andrew Holleran, Felice Picano And Edmund White",QUEER VOICES,"In November 1980, New Yorkâs SoHo Weekly News tagged a cover story Fag Litâs New Royalty, referring to Andrew Holleran, Felice",,2013-04-13,Arts
https://www.huffingtonpost.com/entry/senate-confirms-david-zatezalo-mine-safety_us_5a0ca41ce4b0c0b2f2f771cb,Senate Confirms Former Mine Executive To Be In Charge Of Mine Safety,POLITICS,David Zatezalo's coal company ran afoul of safety laws while he was CEO.,Dave Jamieson,2017-11-15,Politics
https://www.huffingtonpost.com/entry/elle-decor-september-2012-reese-witherspoon_us_5b9c0d26e4b03a1dcc7c043d,Inside Reese Witherspoon's Ojai Home In Elle Decor September 2012 (PHOTOS),HOME & LIVING,"Have something to say? Be sure to check out Stylelist Home on Twitter, Facebook and Pinterest. Looking at this hacienda, it",Michelle Manetti,2012-07-27,Entertainment
https://www.huffingtonpost.com/entry/lady-gaga-hair-terry-richardson-photos-pictures-twitter_us_5b9c447ee4b03a1dcc7d79c9,Lady Gaga Shaved Head To Mourn Terry Richardson's Mother (PHOTOS),STYLE & BEAUTY,"Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr and Pinterest. Check out the photo and tell us",Rebecca Adams,2012-09-12,Entertainment
https://www.huffingtonpost.com/entry/post_us_5b9b896de4b03a1dcc786c7b,Divorced Boomer Clean Freak,DIVORCE,"""Once you're divorced, over sixty, you're done,"" my divorced sixty-one year old friend Melissa says.","Barbara Rose Brooker, Contributor
Author, The Viagra Diaries",2012-04-12,Lifestyle
https://www.huffingtonpost.com/entry/afghanistan-car-bomb_us_55d87db1e4b04ae4970368e5,Deadly Car Bomb In Afghanistan Targets NATO Convoy,INTERNATIONAL NEWS,The attack wounded over 60 people in the capital.,,2015-08-22,World
https://www.huffingtonpost.com/entry/12-years-a-slave_us_5bb450e4e4b066f8d2581609,Why I Wont Watch 12 Years a Slave,"ARTS, CULTURE, & ENTERTAINMENT","In terms of accuracy and vivid depiction of a real story -- a free man captured and held in slavery for 12 years -- this movie is said to be unparalleled. It is brutally accurate, with vivid heart-wrenching depiction of pain, blood, whippings and cruelty.","Glen McDaniel, Contributor
Freelance writer with diverse interests and ecletic background.",2014-03-16,Entertainment
https://www.huffingtonpost.com/entry/how-cultural-pressures-may-affect-your-sleep-habits_us_5731f84ee4b016f37897089d,"If You Canât Sleep, Society May Be To Blame",WELLNESS,Cultural pressures can override your biological sleep clock.,"Agata Blaszczak-Boxe, Live Science",2016-05-10,Health
https://www.huffingtonpost.com/entry/clinton-public-option_us_5781064fe4b01edea78e1cf1,Clinton Reaffirms Support For Public Option In Bid For Sanders Supporters,POLITICS,"Sanders gushes, saying the health care proposals ""will save lives.""",Jonathan Cohn,2016-07-09,Politics
https://www.huffpost.com/entry/yemen-saudi-airstrikes-joe-biden_n_5fee2bb2c5b6fd33110d69ab,U.S.-Backed Airstrikes Are Killing People In Yemen. This Is Their Impact.,POLITICS,"President Donald Trump has resisted bipartisan efforts to end the American role in the war, which has claimed tens of thousands of lives. President-elect Joe Biden says he will change course.",Akbar Shahid Ahmed,2021-01-02,World
https://www.huffingtonpost.com/entry/new-york-judge-tri-custody-dad-two-moms_us_58c98486e4b0cb7d28ce5601,Dad And Two Moms Get âTri-Custodyâ Of Child In Unique Court Case,PARENTING,The three parents were previously in a polyamorous relationship.,Elyse Wanshel,2017-03-16,Legal
https://www.huffingtonpost.com/entry/connecticut-considers-a-soda-tax_us_58ef94b1e4b0156697224cf2,Connecticut Considers A Soda Tax,WELLNESS,The State of Connecticut is currently considering an excise tax on sugar-sweetened beverages.Â I have now testified twice,"David L. Katz, M.D., M.P.H., ContributorFounder, True Health Initiative",2017-04-13,Health
https://www.huffingtonpost.com/entry/china-domestic-violence_us_5875205fe4b099cdb0ffc263,"Chinaâs First Domestic Violence Law Still Needs Work, Say Activists",INTERNATIONAL NEWS,"In December 2015, the Chinese government passed the countryâs landmark first bill against domestic violence. But one year","Helen Roxburgh, Women & Girls Hub",2017-01-10,Politics
https://www.huffingtonpost.com/entry/mick-mulvaney-health-care-poor-choices_us_5916466de4b00f308cf55a21,A Top Trump Official Just Flunked The Jimmy Kimmel Test,POLITICS,"It's fine to pay for sick kids, Mulvaney says, but diabetics are another story.",Jonathan Cohn,2017-05-13,Politics
https://www.huffingtonpost.com/entry/marijuana-addiction-lady-gaga_us_5b9da79de4b03a1dcc8ae55d,Lady Gaga Says She's Addicted To Marijuana: Is It Possible?,WELLNESS,"Comparatively, Scientific American pointed out that in a 1994 study showing that 9 percent of people who've tried marijuana",,2013-11-11,Health
https://www.huffingtonpost.com/entry/mark-peterson-photography-politics_us_582db26ce4b030997bbd9ed7,Bizarre Photos Capture The Unreality Of The 2016 Election Season,"ARTS, CULTURE, & ENTERTAINMENT","Mark Peterson's ""Political Theater"" exposes the absurdity of campaign events.",Priscilla Frank,2016-11-18,Politics
https://www.huffingtonpost.com/entry/olympic-athletes-workout-secrets_us_5b9c12fbe4b03a1dcc7c261f,Workout Secrets From Top Olympic Athletes,WELLNESS,By Alanna NuÃ±ez for Shape.com Unleash your inner Olympian with these gold medal-worthy fitness tips. More from Shape.com,,2012-08-05,Health
https://www.huffingtonpost.com/entry/boehner-seeks-to-run-up-s_n_6064802.html,Boehner Makes Big Push To Run Up GOP's House Majority,POLITICS,,,2014-10-28,Politics
https://www.huffingtonpost.com/entry/exercise-mitochondria_us_5b9d4068e4b03a1dcc85f4e3,DARE to Be 100: Why Is Physical Activity Good and Inactivity Bad for Everything?,WELLNESS,As we exercise the mitochondria of our muscles and many other body components heat up as the result of increased blood flow. The HOT MITOCHONDIA are the reason exercise is good and inactivity is bad for everything.,"Walter M Bortz II MD, Contributor
Clinical Professor of Medicine, Stanford University",2013-06-13,Health
https://www.huffingtonpost.com/entry/kourtney-kardashian-pregnant-black-dress_n_5813484.html,Pregnant Kourtney Kardashian Rocks A Tight LBD,"ARTS, CULTURE, & ENTERTAINMENT",,Lauren Zupkus,2014-09-13,Entertainment
https://www.huffingtonpost.com/entry/elizabeth-warren-mark-green_us_5909fddde4b02655f843148c,Elizabeth Warren Comes Out Against Trump's Army Secretary Nominee,POLITICS,She's the first member of the Armed Services Committee to do so.,Amanda Terkel,2017-05-03,Politics
https://www.huffingtonpost.com/entry/7-empowering-ways-for-wom_us_5b9df868e4b03a1dcc8fb7b6,7 Empowering Ways for Women to Overcome a Breakup,DIVORCE,"What is next? When you've been sharing space with someone and are accustomed to counting on that one person for love, care and support, it can make the separation even that much more challenging.","Renee Lo Iacono, Contributor
Author, Coach and Consultant",2014-04-09,Lifestyle
https://www.huffingtonpost.com/entry/deepak-chopra-money_us_5b9df0e2e4b03a1dcc8f2972,Deepak Chopra Talks Difference Between Money And Wealth,WELLNESS,"""Wealth is a state of consciousness which allows you to tap into the experience of abundance,"" the author, HuffPost blogger",,2014-03-22,Lifestyle
